TimeStamp,786PI521,786PI522,786PI526,786PI527,786PI528,786PI529,786PDI515A,786PI525,786TI513,786PDI509,786PI523,786PI524,786PDI510,786TI525A,786TI525B,786XI507A,786XI507B,786XI508A,786XI508B,786PI529 - 786PI528
4/25/2021 2:20,28.60000229,32.89999771,40.70000076,27.5,26.60000038,29.29999924,,27.29999924,,,36.80000305,26.60000229,,,,4.4765625,4.625219822,8.475054741,8.523515701,2.69999886
4/25/2021 2:25,28.69999886,32.9765625,40.79999924,27.5,26.60000038,29.29999924,,27.29999924,,,36.89999771,26.69999886,,,,4.401174545,4.620217323,8.325292587,8.613096237,2.69999886
4/25/2021 2:30,28.60000229,32.90000153,40.70000076,27.5,26.60000038,29.29999924,,27.29999924,,,36.80000305,26.69999886,,,,4.499704838,4.698827267,8.404767036,8.599608421,2.69999886
4/25/2021 2:35,28.60000229,32.89999771,40.70000076,27.5,26.60000038,29.27500343,,27.29531288,,,36.80000305,26.60000229,,,,4.418750286,4.619959354,8.474665642,8.586276054,2.67500305
4/25/2021 2:40,28.60000229,32.89999771,40.70000076,27.5,26.50000191,29.29999924,,27.20000076,,,36.80000305,26.60000229,,,,4.495312691,4.604697704,8.325045586,8.481269836,2.79999733
4/25/2021 2:45,28.60000229,32.89999771,40.70000076,27.40000153,26.50000191,29.20000076,,27.20000076,,,36.79999924,26.60000229,,,,4.423477173,4.680031776,8.475037575,8.487500191,2.69999885
4/25/2021 2:50,28.60000229,32.89999771,40.79999924,27.5,26.50000191,29.29999924,,27.20000076,,,36.79999924,26.60000229,,,,4.481104374,4.699990749,8.4656353,8.598513603,2.79999733
4/25/2021 2:55,28.60000229,32.89999771,40.70000076,27.5,26.60000038,29.22363281,,27.20000076,,,36.79999924,26.60000229,,,,4.418945313,4.618762016,8.399991989,8.50018692,2.62363243
4/25/2021 3:00,28.60000229,32.89999771,40.70000076,27.5,26.60000038,29.29999924,,27.29999924,,,36.79999924,26.69999886,,,,4.472174168,4.587890625,8.410937309,8.550385475,2.69999886
4/25/2021 3:05,28.60000229,32.89999771,40.70000076,27.5,26.60000038,29.29999924,,27.29999924,,,36.79999924,26.69999886,,,,4.418897152,4.600190639,8.395263672,8.525547981,2.69999886
4/25/2021 3:10,28.60000229,32.89999771,40.70000076,27.5,26.60000038,29.28065491,,27.29999924,,,36.79999924,26.60058784,,,,4.405661106,4.561015606,8.324999809,8.501173973,2.68065453
4/25/2021 3:15,28.60000229,32.89999771,40.70000076,27.5,26.60000038,29.20019531,,27.29999924,,,36.79999924,26.60063553,,,,4.475449562,4.525625229,8.475586891,8.500769615,2.60019493
4/25/2021 3:20,28.60000229,32.89999771,40.70000076,27.5,26.60000038,29.29999924,,27.29999924,,,36.79999924,26.69999886,,,,4.424218655,4.502539158,8.402489662,8.577684402,2.69999886
4/25/2021 3:25,28.60000229,32.89999771,40.70000076,27.5,26.60000038,29.29999924,,27.29999924,,,36.79999924,26.69999886,,,,4.400625229,4.622607708,8.322656631,8.525109291,2.69999886
4/25/2021 3:30,28.60000229,32.89999771,40.70000076,27.5,26.60000038,29.29999924,,27.29999924,,,36.79999924,26.60000229,,,,4.481231689,4.620238304,8.400292397,8.521454811,2.69999886
4/25/2021 3:35,28.60000229,32.89999771,40.70000076,27.5,26.60000038,29.29970551,,27.29999924,,,36.79999924,26.60000229,,,,4.569068909,4.694928169,8.401171684,8.599409103,2.69970513
4/25/2021 3:40,28.60000229,32.80000305,40.70000076,27.5,26.60000038,29.29999924,,27.29999924,,,36.79999924,26.69999886,,,,4.404706955,4.618823051,8.329743385,8.599926949,2.69999886
4/25/2021 3:45,28.60000229,32.80000305,40.69999695,27.5,26.60000038,29.29999924,,27.29999924,,,36.79999924,26.69999886,,,,4.47617197,4.677343845,8.398828506,8.580072403,2.69999886
4/25/2021 3:50,28.60000229,32.89990616,40.70000076,27.5,26.60000038,29.29999924,,27.29999924,,,36.79999924,26.69999886,,,,4.481226444,4.599905491,8.325000763,8.599682808,2.69999886
4/25/2021 3:55,28.60000229,32.80000305,40.70000076,27.5,26.60000038,29.29999924,,27.22031212,,,36.79999924,26.60000229,,,,4.401758194,4.600009441,8.419924736,8.594638824,2.69999886
4/25/2021 4:00,28.60000229,32.89999771,40.79998779,27.5,26.60000038,29.29999924,,27.29999733,,,36.79999924,26.69998741,,,,4.324999809,4.525001526,8.400036812,8.518808365,2.69999886
4/25/2021 4:05,28.60000229,32.87968826,40.70000076,27.5,26.60000038,29.29995155,,27.27499962,,,36.79999924,26.60000229,,,,4.418932438,4.600002289,8.456250191,8.618722916,2.69995117
4/25/2021 4:10,28.60000229,32.89999771,40.70000076,27.5,26.60000038,29.20019531,,27.29999924,,,36.79999924,26.69999886,,,,4.404698849,4.601367474,8.406027794,8.604641914,2.60019493
4/25/2021 4:15,28.60000229,32.89999771,40.70000076,27.5,26.60000038,29.29999924,,27.29999924,,,36.79999924,26.69999886,,,,4.493750095,4.594677925,8.399970055,8.500156403,2.69999886
4/25/2021 4:20,28.60000229,32.89999771,40.70000076,27.5,26.60000038,29.22187424,,27.29999924,,,36.79999924,26.69999886,,,,4.499264717,4.600000381,8.402755737,8.599823952,2.62187386
4/25/2021 4:25,28.60000229,32.89999771,40.70000076,27.5,26.60000038,29.29998779,,27.29999924,,,36.79999924,26.69999886,,,,4.477353573,4.578278542,8.473399162,8.524991035,2.69998741
4/25/2021 4:30,28.60000229,32.89999771,40.79998779,27.5,26.50000191,29.29999924,,27.20000076,,,36.79999924,26.60000229,,,,4.496921062,4.688269138,8.390042305,8.502493858,2.79999733
4/25/2021 4:35,28.60000229,32.89999771,40.70000076,27.5,26.60000038,29.28828049,,27.29999924,,,36.79999924,26.60000229,,,,4.447470665,4.600631714,8.400622368,8.574202538,2.68828011
4/25/2021 4:40,28.60000229,32.89999771,40.70000076,27.5,26.60000038,29.20000076,,27.29999924,,,36.79999924,26.60000229,,,,4.321884155,4.609961033,8.312459946,8.415588379,2.60000038
4/25/2021 4:45,28.60000229,32.89999771,40.70000076,27.5,26.60000038,29.24688339,,27.29999924,,,36.79999924,26.60000229,,,,4.400038719,4.6063447,8.441210747,8.58986187,2.64688301
4/25/2021 4:50,28.60000229,32.89999771,40.70000076,27.5,26.60000038,29.29999924,,27.29999924,,,36.79999924,26.69999886,,,,4.452963829,4.550723076,8.410107613,8.640041351,2.69999886
4/25/2021 4:55,28.60000229,32.89999771,40.70000076,27.5,26.60000038,29.29999924,,27.29999924,,,36.79999924,26.69999886,,,,4.399414063,4.656836033,8.362508774,8.60039711,2.69999886
4/25/2021 5:00,28.60000229,32.89999771,40.70000076,27.5,26.60000038,29.29999924,,27.29999924,,,36.79999924,26.69999886,,,,4.450000286,4.552343845,8.490615845,8.659414291,2.69999886
4/25/2021 5:05,28.60000229,32.80000305,40.70000076,27.5,26.60000038,29.29999924,,27.29999924,,,36.79999924,26.69999886,,,,4.4375,4.599999905,8.436731339,8.649806023,2.69999886
4/25/2021 5:10,28.60000229,32.89999771,40.70000076,27.5,26.60000038,29.29999924,,27.29999924,,,36.79999924,26.69999886,,,,4.400001049,4.598279953,8.390651703,8.597826958,2.69999886
4/25/2021 5:15,28.60000229,32.89999771,40.70000076,27.5,26.60000038,29.20000076,,27.29926682,,,36.79999924,26.60000229,,,,4.407078743,4.562504768,8.40234375,8.561723709,2.60000038
4/25/2021 5:20,28.60000229,32.89999771,40.70000076,27.5,26.50000191,29.20000076,,27.20000076,,,36.79999924,26.60000229,,,,4.407177448,4.575781345,8.400774956,8.559999466,2.69999885
4/25/2021 5:25,28.50000191,32.80000305,40.70000076,27.40000153,26.50000191,29.10000229,,27.20000076,,,36.70000076,26.58769608,,,,4.399414063,4.599414349,8.442797661,8.592992783,2.60000038
4/25/2021 5:30,28.50000191,32.80000305,40.79999924,27.39999962,26.60000038,29.19999886,,27.29997635,,,36.79999924,26.69687462,,,,4.459371567,4.499169827,8.390625,8.547581673,2.59999848
